"Address","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A"
"00:17:31:8c:0c:12",41262,42528871,12246,1339925,29016,41188946
"08:81:f4:8a:dd:b5",33704,41470887,33701,41470761,3,126
"00:00:5e:00:01:1b",12195,1331756,7,420,12188,1331336
"ff:ff:ff:ff:ff:ff",8098,521386,0,0,8098,521386
"08:81:f4:8a:39:b5",1935,129064,1933,128980,2,84
"00:0f:02:6c:e8:ce",1521,102566,0,0,1521,102566
"28:28:5d:87:27:94",247,19395,247,19395,0,0
"00:24:54:e9:ba:02",171,18003,171,18003,0,0
"28:28:5d:a5:15:7f",223,13380,223,13380,0,0
"00:1d:92:da:02:5e",223,13380,223,13380,0,0
"a8:f9:4b:23:1d:ae",222,13320,222,13320,0,0
"28:28:5d:7b:72:a7",222,13320,222,13320,0,0
"00:19:66:f4:34:0c",222,13320,222,13320,0,0
"28:28:5d:e0:e6:ef",160,9610,160,9610,0,0
"00:bc:44:ad:44:88",149,8940,149,8940,0,0
"28:28:5d:65:62:cb",148,8880,148,8880,0,0
"10:7b:ef:61:fa:39",148,8880,148,8880,0,0
"00:13:d4:ef:7e:cb",148,8880,148,8880,0,0
"01:00:5e:00:00:fc",90,6112,0,0,90,6112
"28:28:5d:6c:07:0e",98,5880,98,5880,0,0
"60:eb:69:df:18:08",76,4926,76,4926,0,0
"ac:9e:17:f0:50:c3",61,4901,61,4901,0,0
"2c:44:fd:ad:82:0c",75,4683,75,4683,0,0
"cf:00:00:00:00:00",75,4500,0,0,75,4500
"00:34:fe:42:dd:c4",75,4500,75,4500,0,0
"00:1e:58:a0:24:cf",75,4500,75,4500,0,0
"94:de:80:12:f1:e4",74,4440,74,4440,0,0
"10:7b:ef:60:3c:29",74,4440,74,4440,0,0
"28:92:4a:51:f7:b6",40,3858,40,3858,0,0
"bc:5f:f4:04:19:10",28,3794,15,2092,13,1702
"dc:0e:a1:b0:c6:98",11,3564,11,3564,0,0
"fc:aa:14:9e:eb:f3",8,2736,8,2736,0,0
"fc:aa:14:9c:c6:a1",8,2736,8,2736,0,0
"00:1c:f6:79:51:4b",37,2520,37,2520,0,0
"fc:aa:14:1f:ca:16",30,2424,30,2424,0,0
"00:0f:02:48:63:80",11,2030,11,2030,0,0
"01:00:5e:00:00:0d",25,1800,0,0,25,1800
"00:25:22:96:0a:2a",18,1710,18,1710,0,0
"00:21:97:85:72:6c",19,1547,19,1547,0,0
"01:00:5e:00:00:01",24,1440,0,0,24,1440
"a8:f9:4b:24:d5:17",22,1320,0,0,22,1320
"01:00:5e:00:00:12",20,1200,0,0,20,1200
"6c:62:6d:9f:d2:c1",11,997,11,997,0,0
"38:2c:4a:5d:e8:5d",5,807,3,553,2,254
"c0:a0:bb:b3:1c:f6",13,780,13,780,0,0
"bc:5f:f4:14:1b:12",13,780,13,780,0,0
"2c:ab:25:ff:66:3d",13,780,13,780,0,0
"2c:ab:25:48:c9:e2",13,780,13,780,0,0
"00:1d:72:3f:34:1e",13,780,13,780,0,0
"01:00:5e:00:00:16",12,730,0,0,12,730
"fc:8b:97:54:78:bb",12,720,12,720,0,0
"2c:ab:25:6a:27:5e",12,720,12,720,0,0
"e8:9a:8f:ca:3e:fe",2,684,2,684,0,0
"ac:f1:df:2a:c7:52",2,634,2,634,0,0
"ec:08:6b:05:a3:63",4,557,2,303,2,254
"14:da:e9:22:35:9a",2,490,2,490,0,0
"f8:a9:63:8f:04:02",4,489,4,489,0,0
"01:00:5e:00:00:fb",5,410,0,0,5,410
"01:00:5e:00:00:fd",3,246,0,0,3,246
"e8:03:9a:e7:e9:6c",1,243,1,243,0,0
"00:0f:02:43:2b:04",4,240,4,240,0,0
"a0:b3:cc:44:f8:5e",3,180,3,180,0,0
"40:4a:03:79:82:69",3,180,3,180,0,0
"38:63:bb:a4:13:46",3,180,3,180,0,0
"1c:af:f7:85:49:63",3,180,2,120,1,60
"ac:22:0b:54:d2:2c",2,122,1,60,1,62
"00:0f:02:6c:a8:24",2,120,2,120,0,0
"00:0f:02:40:b6:54",2,120,2,120,0,0
"f0:7d:68:5b:93:b3",1,60,1,60,0,0
"e0:c9:7a:5a:14:9f",1,60,1,60,0,0
"c8:3a:35:15:62:18",1,60,1,60,0,0
"c8:3a:35:0c:f1:10",1,60,1,60,0,0
"c4:e9:84:26:69:6d",1,60,1,60,0,0
"bc:5f:f4:f1:6a:b4",1,60,1,60,0,0
"60:e3:27:d6:4e:fd",1,60,1,60,0,0
"14:d6:4d:ea:6e:a1",1,60,1,60,0,0
"00:1e:e5:45:8c:d8",1,60,1,60,0,0
"00:0f:02:72:4c:46",1,60,1,60,0,0
"00:0a:5e:64:cc:61",1,60,1,60,0,0
"00:02:cb:df:44:44",1,60,1,60,0,0
